company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"813 Consultants, LLC","Low overhead staffing, payroll, and consulting services   ",WBE,SLBE,,Yes,No,"10 Coniston Road, Roslindale, MA 2131",Roslindale,MA,2131,Kristen Harrington,,(617) 435-9123,,813consultants@gmail.com,,Limited Liability Company,No,01/01/2015,Less than 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)","EM - Employement (see also OS, TR)",,561320 - Temporary Help Services,541214 - Payroll Services ,561110 - Office Administrative Services,,,
84 Lumber Company,Building materials and supplies; home center   ,WBE,,,Yes,No,"1019 Route 519, Eighty Four, PA 15330",Eighty Four,PA,15330,Margaret Hardy-Knox,,(724) 223-8400,(866) 358-2961,deja.glemba@84lumber.biz,www.84lumber.com,Partnership,Yes,01/01/1956,Greater than 100,SU - Suppliers,MU - Manufacturers,,444110 - Home Centers ,444190 - Other Building Material Dealers ,,30150000 - Exterior finishing materials,30160000 - Interior finishing materials,30170000 - Doors and windows and glass
A & M Home Services LLC,Landscape; hardscape; excavation; bobcat services; junk removal; maintenance; distribution center; snow removal   ,MBE,SLBE,,No,Yes,"34 Vale Street, Roxbury, MA 2119",Roxbury,MA,2119,Adam Nurse,,(617) 697-2353,,aandmhomeservices@yahoo.com,,Limited Liability Company,No,01/01/2014,Less than 10,LA - Landscaping Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)","RE - Real Estate (Development, Management, Sales and Appraisals)",561730 - Landscaping Services,238990 - All Other Specialty Trade Contractors,,,,
A & S Construction and Demolition Company,Lead abatement; asbestos removal; home repair services,MBE,SLBE,,No,No,"4 Lorna Road, Mattapan, MA 2126",Mattapan,MA,2126,Andrew Simpson,,(617) 799-4955,,andrew@asconstructiondemo.com,,Corporation,Yes,01/01/2001,Less than 10,AB - Asbestos Control,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,562910 - Remediation Services ,238910 - Site Preparation Contractors,,,,
"A Better Resolution, Inc.",Audio/visual production; multimedia production   ,MBE,SLBE,,No,No,"42 8th Street, Suite 3210, Charlestown, MA 2129",Charlestown,MA,2129,Francis Miranda,,(617) 669-9759,(617) 507-5863,frank@abetterresolution.com,,Corporation,No,01/01/1997,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,512110 - Motion Picture and Video Production ,,45110000 - Audio and visual presentation and composing equipment,,
A.C.P. Facility Services,"Commercial contract cleaning, windows, floors and carpet   ",MBE,,,Yes,No,"1 Merrill Street, Woburn, MA 1801",Woburn,MA,1801,Michael White,,(781) 932-0500,(781) 932-0589,info@acpcleaning.com,,Corporation,No,01/01/1986,Greater than 100,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,,,,,,
A.J. Williams Event,Full event planning/management; public relations; graphic design and fundraising   ,MWBE,SLBE,,No,No,"75 Newbury Street, Boston, MA 2116",Boston,MA,2116,AJ Williams,,(617) 267-2244,(617) 267-2203,aj@ajwilliamsevents.com,,Corporation,No,01/01/2002,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MO - Multi Service Organizations,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,541870 - Advertising Material Distribution Services,,,
ABC Specialtees,Custom apparel embroidery and screenprinting; promotional items; awards; gifts; banners   ,WBE,SBE,,No,Yes,"525 Washington Street, Whitman, MA 2382",Whitman,MA,2382,Barbara Sheldon,,(781) 447-1532,,info@abcspecialtees.com,,Sole Proprietorship,No,01/01/1995,Less than 10,AL - Apparel,PT - Printers,RT - Retail Sales of Art & Framing,541430 - Graphic Design Services,314999 - All Other Miscellaneous Textile Product Mills ,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores) ,,,82121500 - Printing Services
Adam Graphic Corporation,"Print signage, apparel, promotional items",WBE,,,No,No,"16 Mason Avenue, Unit 4, North Attleboro, MA 2760",North Attleboro,MA,2760,Nancy Ruo,,(508) 699-2089,(508) 699-2672,nancy@adamgraphic.com,,Corporation,No,01/01/1985,Less than 10,PT - Printers,AL - Apparel,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,541430 - Graphic Design Services,,,82140000 - Graphic design,,
Advertising Business Concepts,"Advertising specialties; printing of forms, envelopes, and letterhead; print (screen) sportswear   ",MBE,SLBE,,No,Yes,"8 Dennison Street, Roxbury, MA 2119",Roxbury,MA,2119,Carlton Smith,,(617) 445-6171,(617) 445-4601,abconcepts1@verizon.net,,Sole Proprietorship,No,01/01/1990,Less than 10,PT - Printers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,,,82140000 - Graphic design,82121500 - Printing Services,
"Aisha Densmore-Bey, Designer",Architecture; design; graphics; branding; art; film,MWBE,,,Yes,Yes,"800 Boylston Street, #990863, Boston, MA 2199",Boston,MA,2199,Aisha Densmore-Bey,,(857) 225-5107,,emailaisha@aishadb.com,,Sole Proprietorship,No,01/01/2011,Less than 10,AE - Architects/Engineers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,541310 - Architectural Services,541430 - Graphic Design Services,,,,
"Alliance Detective & Security Service, Inc",Armed and unarmed security guards; patrol services; alarm response; alarm and CCTV monitoring; investigations   ,WBE,SBE,,Yes,Yes,"930 Broadway, Everett, MA 2149",Everett,MA,2149,Marianne Jenkins,,(617) 387-1261,(617) 389-0022,khartung@alliancesecurityservice.com,,Corporation,No,01/01/1975,Greater than 100,"SE - Security (Guards, Dogs, Systems)",,,561611 - Investigation Services ,561612 - Security Guards and Patrol Services ,,,,
"Alpha Three Consulting, LLC","Management and Technical Services Consulting Firm, Providing Services on a Project, Staff Augmentation, or Consulting Basis",WBE,,,No,No,"3000 Atrium Way, Mount Laurel, NJ 8054",Mount Laurel,NJ,8054,Stephanie Sanders,"Marnie Masiello, Stephanie Sanders - Senior Partners  Melissa Nagata - Senior Partner and General Counsel",(610) 637-0844,,marnie.masiello@alphathree.com,alphathree.com,Limited Liability Company,No,01/01/2007,Greater than 100,COM - Consultants: Management,CN - Construction Management: Small Commercial Projects,COD - Consultants: Design,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,541690 - Other Scientific and Technical Consulting Services,80100000 - Management advisory services,83100000 - Utilities,
"Altieri Events, LLC dba AE Events",Event planning and production,WBE,,,Yes,Yes,"546 East Broadway, Boston, MA 2127",Boston,MA,2127,Christine Altieri,,(617) 320-7635,,christine@aeevents.com,,Limited Liability Company,No,01/01/2009,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ","711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,,,
"American Contractors Design and Finish, Inc.","Construction company specializing in carpentry, painting, drywall",,SBE,,No,No,"31 Colonial Drive, Dedham, MA 2026",Dedham,MA,2026,Miguel Oliveira,,(781) 471-5298,,mdiaz@amci.us,,Corporation,Yes,01/01/2010,20-Nov,CA - Carpentry,"PL - Plastering, Drywall Contractors",CN - Construction Management: Small Commercial Projects,236210 - Industrial Building Construction ,236220 - Commercial and Institutional Building Construction ,,,,
"American Translation Partners, Inc.","Language services:  An international network of language professionals; assist a myriad of industries and markets, including but not limited to government, legal, medical, insurance, technical, financial, internet, software; assist with more than 150 languages",MWBE,SBE,,Yes,Yes,"1 Trowbridge Road, Suite 340, Buzzards Bay, MA 2536",Buzzards Bay,MA,2536,Polly Crystal,,(508) 823-8892,(508) 823-8854,request@atptranslations.com,,Corporation,No,01/01/2000,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,,,
Amy Branger,Management consulting and executive coaching,WBE,,,Yes,Yes,"42 Eighth Street, Charlestown, MA 2129",Charlestown,MA,2129,Amy Branger,,(617) 312-8287,,amycbranger@gmail.com,,Sole Proprietorship,No,01/01/2015,Less than 10,COM - Consultants: Management,BU - Business Management Consultants,,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,,,
"Angelini Plastering, Inc.",Light guage metal framing; insulation; gypsum board; all phases of plastering; acoustical plaster; EIFS; BASWAphon; drywall; GFRG   ,WBE,SBE,,No,No,"304 Main Street, North Reading, MA 1864",North Reading,MA,1864,Jodi Angelini,,(978) 664-3836,(978) 664-0771,jangelini@angeliniplastering.com,,Corporation,Yes,01/01/1981,21 - 40,"PL - Plastering, Drywall Contractors",,,238310 - Drywall and Insulation Contractors ,,,,,
Angelo's Cleaning Company,Commercial and residential cleaning company,MWBE,SLBE,,No,No,"110 Antwerp Street, Brighton, MA 2135",Brighton,MA,2135,Janee Jones,,(857) 615-6388,,angeloscleaningcom@gmail.com,,Limited Liability Company,No,01/01/2019,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,,,,,
"Anvil Steel Engineering, Inc.","All facets of iron work including but not limited to:  structural bridges, precast, reinforcing and welding.  This is a Veteran Owned Small Business Enterprise (VOSBE).   ",MBE,SBE,SVOB,No,No,"256 Prospect Hill Street, Taunton, MA 2780",Taunton,MA,2780,Lamont Davis,,(617) 799-1614,(508) 880-0301,anvilsteelinc@gmail.com,,Corporation,Yes,01/01/2014,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",,,237990 - Other Heavy and Civil Engineering Construction ,,,,,
Anytime Auto Glass LLC,Auto glass replair and replacement   ,,SLBE,,No,Yes,"1560 River Street, Hyde Park, MA 2136",Hyde Park,MA,2136,Kellyann Coyne,,(617) 898-8463,(617) 361-2859,anytimeautoglassboston@gmail.com,,Sole Proprietorship,Yes,01/01/2013,Less than 10,GG - Glass/Glazing Contractors,"AU - Automobile (Sales, Services, Leasing, Rental)",,811122 - Automotive Glass Replacement Shops ,,,,,
"Archipelago Strategies Group, Inc.",Marketing; advertisement production; public relations; social media management; branding; website design; event planning; management consulting   ,MWBE,SLBE,,No,Yes,"51 Melcher Street, Boston, MA 2210",Boston,MA,2210,Josiane Martinez,,(617) 419-6989,,josiane@discoverasg.com,,Corporation,No,01/01/2013,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COM - Consultants: Management,,541613 - Marketing Consulting Services ,541820 - Public Relations Agencies,,,,
"Architectural Engineers, Inc.","Civil, structural, mechanical, electrical and fire protection   ",WBE,SLBE,,Yes,Yes,"63 Franklin Street02110-, Boston, MA 2110",Boston,MA,2110,Robin Greenleaf,,(617) 542-0810,(617) 542-8451,jgoodmonson@arcengrs.com,,Corporation,No,01/01/1985,21 - 40,"COA - Consultants: Architecture, Engineering",,,541330 - Engineering Services,,,,,
"Argus Communications, Inc.",Marketing; advertising; communications; creative and strategic services,MBE,,,Yes,No,"75 Central Street, Boston, MA 2109",Boston,MA,2109,Lucas Guerra,,(617) 261-7676,,lucas@thinkargus.com,,Corporation,No,01/01/1999,20-Nov,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541613 - Marketing Consulting Services ,,,,,
ARQ Architects,Architectural Services   ,WBE,SBE,,No,No,"1 Government Street, Kittery, ME 3904",Kittery,ME,3904,Lucinda Schlaffer,"Lucinder Schlaffer, Partner",(207) 439-5289,(207) 439-9531,lucy@arqarchitects.com,www.arqarchitects.com,Partnership,No,01/01/1985,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,541410 - Interior Design Services,,81100000 - Professional engineering services,,
"Arrow Event Management, LLC",Event management services,WBE,SLBE,,No,Yes,"486 Shawmut Avenue, Boston, MA 2118",Boston,MA,2118,Emily Olson,,(773) 710-1042,,emily@arrow-events.com,,Limited Liability Company,No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,,561920 - Convention and Trade Show Organizers,541618 - Other Management Consulting Services ,,,,
Artistic Explosions,Photography; video production   ,MBE,SLBE,,Yes,No,"90A Hemman Street, Roslindale, MA 2131",Roslindale,MA,2131,Donald Rockhead,,(617) 461-5868,,photo@donrockphoto.com,,Sole Proprietorship,No,01/01/2008,Less than 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,,,,
"Ascia Foods, LLC",Restaurant/cafe,MBE,,,Yes,Yes,"100 Malcolm X Boulevard, Boston, MA 2120",Boston,MA,2120,Yusuf Yassin,,(617) 959-3031,,awab12@gmail.com,,Limited Liability Company,No,,Less than 10,"FD - Food Products, Services",,,722513 - Limited-Service Restaurants ,,,85150000 - Food and nutrition services,,
"ATANE Engineers, PC dba ATANE Consulting",Engineering; architecture; land surveying; material testing   ,MBE,SLBE,,Yes,Yes,"56 Roland Street, Boston, MA 2129",Boston,MA,2129,Quaiser Hashmi,,(212) 747-1997,(212) 747-1947,qhashi@ataneconsulting.com,,Corporation,No,01/01/2010,Greater than 100,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541310 - Architectural Services,541370 - Surveying and Mapping (except Geophysical) Services,,,
"Atelier et Alia, LLC",Residential and commercial architectural services   ,WBE,SBE,,No,Yes,"1275 Washington Street, West Newton, MA 2465",West Newton,MA,2465,Kristen Giannattasio,,(617) 960-0788,,kg@atelieretalia.com,,Limited Liability Company,No,01/01/2016,Less than 10,AE - Architects/Engineers,,,541310 - Architectural Services,541410 - Interior Design Services,,,,
"Atlantic Bay Contracting Company, Inc.","Asbestos abatement, including mold remediation; hazardous waste removal; miscellaneous construction supplies; miscellaneous janitorial supplies  ",MBE,,,Yes,No,"100 Hano Street, Allston, MA 2134",Allston,MA,2134,Allen Young,,(617) 782-4986,(617) 782-4974,allen@atlanticbaycontracting.com,,Corporation,Yes,01/01/1993,Less than 10,AB - Asbestos Control,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",HW - Hazardous Waste Management (see also EN and CON),,,,,,
"Atomic Ant Construction, Inc.",Home improvement and real estate broker,WBE,,,Yes,Yes,"966 Hyde Park Avenue, Hyde Park, MA 2136",Hyde Park,MA,2136,Patricia Ferreira,,(508) 335-1590,,patricia.luna@atomicantconstruction.com,,Corporation,Yes,01/01/2018,Less than 10,GC - General Contractors,"RE - Real Estate (Development, Management, Sales and Appraisals)",,236118 - Residential Remodelers ,,,,,
Atlas True Value Hardware,"Hardware, paint, electrical, lawn and garden, plumbing, cleaning supplies   ",MBE,SLBE,,No,No,"1871 Centre Street, West Roxbury, MA 2132",West Roxbury,MA,2132,Albert Meranda,,(617) 325-9494,(617) 325-7446,atlastruevalue@msn.com,,Sole Proprietorship,Yes,01/01/1981,Less than 10,SU - Suppliers,RT - Retail Sales of Art & Framing,,444130 - Hardware Stores ,,,31160000 - Hardware,,
Audio and Lighting Unlimited,Audio and lighting equipment rental   ,MBE,,,No,Yes,"169 Norfolk Avenue, Boston, MA 2119",Boston,MA,2119,Gerard Exilhomme,,(857) 212-5660,,audioandlightingunlimited@gmail.com,,Limited Liability Company,No,01/01/2018,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,,,,,
"Audio Chemists, LLC",Audio and video production services,MBE,,,Yes,No,"142 Cambridge Street, Charlestown, MA 2129",Charlestown,MA,2129,Wilber Renderos,,(617) 276-6541,,wilber@audiochemists.net,,Limited Liability Company,No,01/01/2009,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,512199 - Other Motion Picture and Video Industries ,,,,,
"Audiospectrum, Inc.",Sound equipment rental/sales   ,MBE,,,No,Yes,"50 Mazzeo Drive, Randolph, MA 2368",Randolph,MA,2368,Rafael Jaimes,,(617) 719-1331,,sales@audiospectrum.com,,Corporation,No,,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,532210 - Consumer Electronics and Appliances Rental,,,,,
"Aulson Company, Inc., The","Specialty contractor:  asbestos, lead paint, and mold remediation; interior demolition; restoration; roofing.  This is a Service Disabled Veteran Owned Small Business Enterprise (SDVOSBE).   ",,SBE,SDVOB,No,Yes,"49 Danton Drive, Methuen, MA 8144",Methuen,MA,8144,"Alan Aulson, Sr.",,(978) 975-4500,(978) 975-0101,sjammal@aulson.com,,Corporation,Yes,01/01/1990,Less than 10,AB - Asbestos Control,"RF - Roofing, Sheet Metal Contractors",,562910 - Remediation Services ,238910 - Site Preparation Contractors,238160 - Roofing Contractors ,,,
"Austin Transportation, LLC",Ground transportation,MBE,SLBE,,No,Yes,"33 Regina Road, #3, Dorchester, MA 2124",Dorchester,MA,2124,Robert Austin,,(617) 799-9670,,robaustin28@msn.com,,Limited Liability Company,No,01/01/2006,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,485999 - All Other Transit and Ground Passenger Transportation ,485991 - Special Needs Transportation ,485510 - Charter Bus Industry,,,
"B2B Holdings, Inc. dba Alpha Identification",ID Badging and Event Badging Supplies; Custom Print and Promotional Products and Office Furniture  ,WBE,,,Yes,Yes,"168 Sutton Street, Uxbridge, MA 1569",Uxbridge,MA,1569,Mary Bloem,,(508) 839-6144,(508) 839-6145,mbloem@mygotosource.com,https://mygotosource.com,Corporation,No,01/01/2018,Less than 10,SU - Suppliers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,"OF - Office Furniture, Services and Equipment","326130 - Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326199 - All Other Plastics Product Manufacturing ,,92120000 - Security and personal safety,82121500 - Printing Services,56110000 - Commercial and industrial furniture
"Banks II Quan Associates, Inc.",Consulting engineering:  MEP design; energy master planning; energy studies; monitoring based commissioning; retro commissioning; demand response; energy storage; and design build,WBE,,,Yes,No,"100 Burtt Road, suite 212, Andover, MA 1810",Andover,MA,1810,Nancy Banks,,(978) 447-5613,(978) 719-6339,nbanks@b2qassociates.com,,Corporation,No,01/01/2002,20-Nov,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",,541330 - Engineering Services,,,,,
Babbling Brook Family Tutoring Service,"Educational Support Services, Office Services, and Training   ",MWBE,"SBE, SLBE",,No,No,"13 Everett Street, Boston, MA 02128",Boston,MA,02128,Naimah Allateef,,(857) 246-1620,,allateef1@yahoo.com,bbfts.net,Sole Proprietorship,No,01/01/2013,Less than 10,"ED - Education (see also OS, TA)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",TA - Training (see also ED),611710 - Educational Support Services,624110 - Child and Youth Services ,561499 - All Other Business Support Services ,86120000 - Educational institutions,86110000 - Alternative educational systems,86130000 - Specialized educational services
"Balloon City of Boston, Inc.",Full service balloon company providing unique and creative balloon decor to the private and public sector; retail balloon and gift store   ,WBE,,,No,Yes,"995 Bennington Street, East Boston, MA 2128",East Boston,MA,2128,Christine Bernstein,,(617) 567-9114,(617) 567-3633,sales@ballooncityboston.com,,Corporation,No,,Less than 10,RT - Retail Sales of Art & Framing,SU - Suppliers,,"453220 - Gift, Novelty, and Souvenir Stores ",,,,,
Bargmann Hendrie + Archetype,Architectural services,WBE,,,Yes,Yes,"9 Channel Center Street, Suite 300, Boston, MA 2210",Boston,MA,2210,Carolyn Hendrie,,(617) 456-2240,,hadelson@bhplus.com,,Corporation,No,,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
Barry Jones and Associates,"Flooring sales and installation:  carpet, vinyl, wood, ceramic   ",MBE,SBE,,No,No,"20 Turnstone Terrace, Stoughton, MA 2072",Stoughton,MA,2072,Barry Jones,,(781) 608-2542,(781) 344-5985,carpetbarry@yahoo.com,,Sole Proprietorship,Yes,01/01/2008,Less than 10,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,,238330 - Flooring Contractors,442210 - Floor Covering Stores ,,,,
Baseline Supply LLC,Supplier of construction materials and building supplies   ,WBE,SBE,,Yes,No,"65 Turnberry Drive, Monroe Township, NJ 8831",Monroe Township,NJ,8831,Tracey Meents,,(732) 835-2080,(888) 398-2080,baselinesupply@gmail.com,,Sole Proprietorship,Yes,01/01/2010,Less than 10,SU - Suppliers,,,423390 - Other Construction Material Merchant Wholesalers ,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423510 - Metal Service Centers and Other Metal Merchant Wholesalers ,30130000 - Structural building products,,
Bautista Masonry Corporation,Masonry; concrete; repointing; general construction,MBE,,,Yes,Yes,"99 Milton Street, Waltham, MA 2453",Waltham,MA,2453,Eder Bautista,,(781) 254-7064,,eder@bautistamasonry.com,,Corporation,Yes,01/01/2015,Less than 10,CM - Concrete & Masonry Contractors,CN - Construction Management: Small Commercial Projects,SN - Snow Removal/Plowing (see also TK),238140 - Masonry Contractors ,,,,,
"Bay State Water Works Supply, Inc.",Distributor of water and sewer supplies   ,WBE,SBE,,Yes,No,"96 Taylor Street, Littleton, MA 1460",Littleton,MA,1460,Nicole Correnti,,(978) 486-8854,(978) 486-8806,baystatewater@aol.com,,Corporation,Yes,01/01/1989,Less than 10,SU - Suppliers,,,423510 - Metal Service Centers and Other Metal Merchant Wholesalers ,,,,,
Best Painters,Interior and Exterior Painting   ,MBE,SBE,,No,No,"19 Hill Street, West Springfield, MA 01089",West Springfield,MA,01089,Daniel Santiago,,(413) 887-8696,,bstpainters@yahoo.com,,Sole Proprietorship,Yes,01/01/2013,Less than 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,,,31210000 - Paints and primers and finishes,,
Biddy Hair Salon LLC,"All hair, make-up, and facial beauty services",MWBE,SLBE,,No,Yes,"273 Meridian Street, East Boston, MA 2128",East Boston,MA,2128,Ines Biddy,,(617) 567-1064,,biddysalon@gmail.com,,Sole Proprietorship,No,01/01/2003,Less than 10,RT - Retail Sales of Art & Framing,,,812112 - Beauty Salons ,812111 - Barber Shops ,812113 - Nail Salons ,,,
